OMOP_CONCEPT_ID	TEST_NAME	MEASUREMENT_UNIT	TEST_OUTCOME	n_TEST_OUTCOME	n_subjects
-1	!pak.maitoigavasta-aineet	%	N	93	93
-1	!pak.maitoigavasta-aineet	%	A	37	37
-1	!pak.maitoigavasta-aineet		N	16	16
-1	!pak.maitoiggvasta-aineet	%	N	129	129
-1	!pak.maitoiggvasta-aineet	%	A	15	15
-1	(alv)huumeseulonta4a		N	18	18
-1	(alv)huumeseulonta5a		N	6	6
-1	(alv)huumeseulonta5b		N	44	40
-1	(alv)huumeseulonta6a		N	140	130
-1	(alv)huumeseulonta7a		N	7	7
-1	(m)gluk120		N	20	17
-1	-abcg2		N	1450	1403
-1	-acantvi		N	18	17
3028371	-activi		A	61	61
3016845	-adenag		N	66	57
3040853	-adennho		N	1258	792
3040853	-adennho		A	94	71
-1	-adenovirus,nukleiinihaponosoitus		N	9	9
-1	-agglut		N	693	562
-1	-aikaisemmintutkitunnäytteenkäsitteleminenmeetingissä		N	7	7
-1	-albumiini,elektroforeesifraktio,osatutk2522	g/l	A	6	6
-1	-albumiini,seerumi,elektroforeesifraktio(g/l)	g/l	A	427	140
-1	-albumiini,seerumi,elektroforeesifraktio(g/l)	g/l	L	77	43
-1	-albumiini,seerumi,elektroforeesifraktio(g/l)	g/l	N	15	15
-1	-alfa-1-globuliini,elektroforeesifraktio,osatutk2522	g/l	A	6	6
-1	-alfa-1-globuliini,elektroforeesifraktio,osatutk2522	g/l	N	7	6
-1	-alfa-1-globuliini,seerumi,elektroforeesifraktio	g/l	A	142	72
-1	-alfa-1-globuliini,seerumi,elektroforeesifraktio	g/l	N	62	42
-1	-alfa-1-globuliini,seerumi,elektroforeesifraktio	g/l	H	30	21
-1	-alfa-2-globuliini,eletroforeesifraktio,osatutk2522	g/l	A	6	6
-1	-alfa-2-globuliini,eletroforeesifraktio,osatutk2522	g/l	N	6	6
-1	-alfa-2-globuliini,seerumi,elektroforeesifraktio	g/l	A	251	104
-1	-alfa-2-globuliini,seerumi,elektroforeesifraktio	g/l	N	64	44
-1	-alfa-2-globuliini,seerumi,elektroforeesifraktio	g/l	H	17	15
-1	-alfa-2-globuliini,seerumi,elektroforeesifraktio	g/l	L	12	8
-1	-alk-pak		N	52	36
-1	-alk-sul		N	110	87
-1	-amebvr		N	16	13
-1	-amebvr		A	45	30
3016771	-amyl	u/l	N	1651	294
-1	-amyl		N	188	121
3016417	-amylp	u/l	N	56	30
3016417	-amylp		N	9	8
-1	-anaerobibakteeriviljely		A	6	6
-1	-artriittitutkimus,lausunto		A	10	9
-1	-artriittitutkimus,lausunto		N	11	11
-1	-askirje		N	436	409
-1	-aspeag		N	532	258
-1	-aspeag		H	12	11
-1	-aspeag		A	18	17
-1	-aspeag	index	A	10	9
-1	-aspenho		A	9	8
-1	-aspenho		N	18	15
-1	-bakt		N	6	6
-1	-bakteeri,nukleiinihappo(kval)		A	31	18
-1	-bakteeri,nukleiinihappo-osoitus		A	13	11
-1	-bakteeri,viljely		A	55	47
-1	-bakteeri,värjäys		A	32	27
-1	-bakteeriviljely,aerobi		N	119	101
-1	-bakteeriviljely,anaerobi		N	128	106
40769539	-baktnho		N	3846	2251
40769539	-baktnho		A	2025	1429
3002619	-baktvi		N	83	81
36305247	-baktvr		A	535	487
36305247	-baktvr		N	1109	907
3006315	-baso	%	A	35	22
-1	-beeta-1-globuliini,elektroforeesifraktio,osatutk2522	g/l	N	10	9
-1	-beeta-2-globuliini,elektroforeesifraktio,osatutk2522	g/l	A	10	9
-1	-beta-1-globuliini,seerumi,elektroforeesifraktio	g/l	A	189	74
-1	-beta-1-globuliini,seerumi,elektroforeesifraktio	g/l	N	72	46
-1	-beta-1-globuliini,seerumi,elektroforeesifraktio	g/l	L	20	14
-1	-beta-2-globuliini,seerumi,elektroforeesifraktio	g/l	N	75	49
-1	-beta-2-globuliini,seerumi,elektroforeesifraktio	g/l	A	97	51
-1	-beta-2-globuliini,seerumi,elektroforeesifraktio	g/l	H	6	6
-1	-beta-2-globuliini,seerumi,elektroforeesifraktio	g/l	L	12	7
3006140	-bil	umol/l	N	149	88
-1	-bil		N	34	30
3050099	-bkvnh		N	58	31
3050099	-bkvnh		A	134	25
3029187	-bnp	ng/l	A	29	8
-1	-bocanho		N	10	10
-1	-bocavirus,nukleenihappo		N	14	14
40765161	-bokanho		N	795	495
40765161	-bokanho		A	36	18
3012477	-bopenho		N	180	175
3012477	-bopenho		A	30	30
-1	-bopenho.		N	368	252
-1	-bopevip		N	10	10
3037875	-boppnho		N	67	66
-1	-bordetellapertussis,nukleiinihappo(kval)		N	12	12
-1	-bordetellapertussis,nukleiinihappo(kval)		A	8	8
3030429	-borrnho		A	36	35
3030429	-borrnho		N	207	203
-1	-bparnho		N	13	13
-1	-c19nho		A	6	6
-1	-c6-ind		A	34	27
-1	-c6-ind		N	9	8
-1	-caauvi		N	152	42
3016431	-caio7.4	mmol/l	A	10	10
3021347	-caionac	mmol/l	A	10	10
-1	-calbnho		N	86	80
-1	-calpro	mg/l	N	39	39
-1	-cand		N	51	43
-1	-cand-vi		A	32	23
-1	-candida,viljely		A	20	20
-1	-candida,viljely		N	9	8
-1	-candidaalbicans,nukleiinihappo		N	20	18
-1	-candidaalbicansnho		N	36	33
-1	-candidaparapsilosisnho		N	8	7
3026389	-candvi		A	1056	816
3026389	-candvi		N	1001	808
-1	-cd138-solujeneristysluuydin-taiverinäytteestä		N	21	21
-1	-cd4-solujensuhdecd8-soluihin		N	238	162
3025059	-cdt	mg/l	N	16	15
3025059	-cdt		N	66	59
-1	-cea	ug/l	N	30	29
-1	-cea		N	12	12
-1	-cenp-a-ab(ib)		N	30	30
-1	-cenp-b-ab(ib)		N	30	30
-1	-chl..trach.janeisser.gonorrh.nukl.happo(kval)		N	7	6
-1	-chl.trach.janeisser.gonorrh,nukl.hapon(kval)		N	97	75
-1	-chlamydiatrachomatis,nukleiinihaponosoitus		N	7	7
-1	-chlamydiatrachomatis,nukleiinihaponosoitus		A	16	13
-1	-chlamydiatrachomatis,nukleiinihappo(kval)		A	34	27
-1	-chlamydiatrachomatis,nukleiinihappo(kval)		N	7	6
-1	-chlamydiatrachomatis,nukleiinihappo(kval)(kalmydia)		N	10	6
-1	-chlamydiatrachomatis,nukleiinihappokotona		N	4635	2677
-1	-chlamydiatrachomatis,nukleiinihappokotona		A	181	156
-1	-chlamydiatrachomatis,osoittaminen,		N	27	21
-1	-chlamydiatrachomatis,osoittaminennukleiinihap		A	29	22
-1	-chlamydiatrachomatisjaneisseriagonorrhoeae,nukleiinihappokotona(kval)		N	6639	3643
-1	-chpnab		N	19	15
3031478	-chpnnho		N	732	551
3006093	-chtrnho		N	24766	13326
3006093	-chtrnho		A	1291	976
-1	-cmvhe		N	6	6
3030558	-cmvnh		N	195	163
3030558	-cmvnh	iu/ml	A	40	37
3030558	-cmvnh		A	64	60
3030558	-cmvnh	u/ml	N	8	8
3030558	-cmvnh	iu/ml	N	25	11
3020229	-cmvnho		A	35	34
3020229	-cmvnho		N	18	17
-1	-cmvvi		N	9	8
-1	-coinrsv		N	64	58
-1	-colnrsv		A	19	19
-1	-covid-19-koronavirustauti,antigeeni		N	68	59
-1	-covid-19-koronavirustauti,antigeeni		A	8	8
-1	-covid-19-koronavirustauti,antigeeni,standardq		N	6	6
-1	-covid-19-koronavirustauti,nho-pikatesti(kval)		A	207	194
-1	-covid-19-koronavirustauti,nho-pikatesti(kval)		N	11	11
-1	-covid-19-koronavirustauti,nukleiinihappo(kval)		N	150	109
-1	-covid-19-koronavirustauti,nukleiinihappo(kval)		A	743	678
-1	-covid-19-koronavirustauti,nukleiinihappo(kval)(pi)		N	8	8
-1	-covid-19-koronavirustauti,nukleiinihappo(kval).		N	13	10
-1	-covid-19-koronavirustauti,nukleiinihappo(kval).		A	15	15
-1	-covid-19-koronavirustautinukleiinihappo(kval)		N	8	7
-1	-covid-19-koronavirustautinukleiinihappo(kval)		A	8	7
-1	-covid-19-koronavirustesti,nho-pikatesti(kval)		N	41	32
-1	-covidjt		N	41	38
