OMOP_CONCEPT_ID	TEST_NAME	MEASUREMENT_UNIT	MEASUREMENT_UNIT_HARMONIZED	omopQuantity	CONVERSION_FACTOR	n_records	n_subjects
3026361	b-eryt	e12/l	e12/l	Number Concentration	1	8028965	463659
3024731	e-mcv	fl	fl	Entitic volume	1	10022160	470954
3009542	b-hkr	%	%	Volume Fraction	1	4824693	323177
3018251	fp-gluk			Substance Concentration		409950	133959
3000963	b-hb	g/l	g/l	Mass Concentration	1	10049943	470927
3003338	e-mchc	g/l	g/l	Mass Concentration	1	6813808	370867
3035941	e-mch	pg	pg	Entitic mass	1	10025100	470771
3023103	p-k	mmol/l	mmol/l	Substance Concentration	1	6739084	412761
3007461	b-trom	e9/l	e9/l	Number Concentration	1	7897112	462550
3019550	p-na	mmol/l	mmol/l	Substance Concentration	1	6702125	413479
3019900	fp-kol			Substance Concentration		263420	100118
3023602	fp-kol-hdl	mmol/l	mmol/l	Substance Concentration	1	1110704	317793
3048773	fp-trigly	mmol/l	mmol/l	Substance Concentration	1	1104126	315728
3001308	fp-kol-ldl			Substance Concentration		326168	118712
3020564	p-krea	umol/l	umol/l	Substance Concentration	1	7089933	406768
3002385	e-rdw	%	%	Ratio	1	5841625	349264
3010813	b-leuk	e9/l	e9/l	Number Concentration	1	7603865	460879
3044889	pt-ekg-12			-		1163408	298940
3009201	p-tsh	mu/l	mu/l	Arbitrary Concentration	1	1316156	310844
3006923	p-alat	u/l	u/l	Catalytic Concentration	1	4339970	409427
4094501	pt-klr-tje			-		13035	11913
-1	pt-klr-tau					640	612
3051714	p-fidd	mg/l	mg/l	Mass Concentration	1	117518	66128
3020460	p-crp			Mass Concentration		2141193	333099
3018251	fp-gluk	mmol/l	mmol/l	Substance Concentration	1	1527485	374921
3019900	fp-kol	mmol/l	mmol/l	Substance Concentration	1	1160417	322952
3001308	fp-kol-ldl	mmol/l	mmol/l	Substance Concentration	1	1258972	329153
3004410	b-hba1c	mmol/mol	mmol/mol	Mass fraction	1	1619682	370701
40764999	pt-gfreepi	ml/min/173m2	ml/min/173m2	Volume Rate/Area	1	2254869	256010
0	b-bio-0					85827	81760
40761511	b-pvk+t			-		4551725	411603
3026361	b-eryt			Number Concentration		2790060	267777
3033658	p-tt	%	%	Relative time	1	465526	109805
3010813	b-leuk			Number Concentration		2696175	253866
3007461	b-trom			Number Concentration		2501841	235230
3021337	p-tni	ng/l	ng/l	Mass Concentration	1	218184	55618
3035995	p-afos	u/l	u/l	Catalytic Concentration	1	2452889	302834
3016417	p-amylp	u/l	u/l	Catalytic Concentration	1	91219	36909
3006140	p-bil	umol/l	umol/l	Substance Concentration	1	1374234	214569
40764999	pt-gfre			Volume Rate/Area		1444116	151891
3018006	pt-papa-1			Presence or Identity		114152	74830
3024731	e-mcv			Entitic volume		952063	166429
3003338	e-mchc			Mass Concentration		369973	89414
3035941	e-mch			Entitic mass		948702	165850
3002385	e-rdw			Ratio		523570	108643
3025839	p-trigly			Substance Concentration		61453	33759
3009201	p-tsh			Arbitrary Concentration		397224	123095
3008486	p-t4-v			Substance Concentration		222681	74206
3019900	p-kol			Substance Concentration		65623	35899
3023602	p-kol-hdl			Substance Concentration		62952	34371
3001308	p-kol-ldl			Substance Concentration		78949	41371
3011371	-gcnho			Presence or Threshold		71209	33902
3024950	u-chtrnho			Presence or Threshold		152511	66530
3006093	-chtrnho			Presence or Threshold		90245	40486
46235355	s-hivagab			-		209480	101273
0	u-ctgcnho					99486	49118
3003510	u-gcnho			Presence or Threshold		134265	61260
3028679	s-hsvab			Presence or Threshold		3439	2932
3019832	s-trpaab			Presence or Threshold		97043	53258
40768804	ts-pad-1			Finding		258051	146381
3035350	u-keto-o			Presence or Threshold		695621	199151
3041096	u-eryt-o			Presence or Threshold		321324	113540
3009261	u-gluk-o			Presence or Threshold		706258	201489
40763086	u-leuk-o			Presence or Threshold		579561	164604
3021601	u-prot-o			Presence or Threshold		358220	127064
3019150	u-suhti			Relative Density		293947	81026
3021601	u-nitr-o			Presence or Threshold		699824	199480
3015736	u-ph	ph	ph	Log molar concentration	1	292016	106339
3031040	u-baktvi			Number Concentration		1317066	291218
3002582	u-eryt			Number Concentration		175988	65649
3037467	u-kemseul			-		1334028	300193
3030467	u-lier			Number Concentration		160096	58018
36304419	u-bakt			Presence or Threshold		376824	117328
3029879	u-levyep			Number Concentration		145896	51539
3030306	u-pienep			Number Concentration		144362	50932
3011397	u-hb-o			Presence or Threshold		349082	93650
3018095	u-leuk			Number Concentration		188117	71787
3026008	u-baktjvi			Presence or Identity		390015	127584
3035995	p-afos			Catalytic Concentration		207774	81241
3016417	p-amylp			Catalytic Concentration		21378	12094
3026910	p-gt	u/l	u/l	Catalytic Concentration	1	716694	230909
3004410	b-hba1c			Mass fraction		485978	118701
3009542	b-hkr	ratio	%	Volume Fraction	100	5109148	290356
3013707	b-la	mm/h	mm/h	Velocity (distance/time)	1	1232973	306017
40768797	ts-padgast			Finding		76301	61022
3019150	u-suhti	kg/l	kg/l	Relative Density	1	44478	14872
3009201	s-tsh	mu/l	mu/l	Arbitrary Concentration	1	248419	128251
3022621	u-ph-o	ph		Log molar concentration		36772	11645
3013721	p-asat	u/l	u/l	Catalytic Concentration	1	444786	133335
3002030	l-lymf	%	%	Number Fraction	1	287524	52576
3018010	l-neut	%	%	Number Fraction	1	378638	72571
3017732	l-neut	e9/l	e9/l	Number Concentration	1	4518	1546
3006504	l-eos	%	%	Number Fraction	1	942892	142321
3022096	l-bas	%	%	Number Fraction	1	7218	2237
3013115	l-eos	e9/l	e9/l	Number Concentration	1	4145	1341
3006315	l-baso	e9/l	e9/l	Number Concentration	1	4039	1335
3019069	l-mon	%	%	Number Fraction	1	12735	3460
3001604	l-mono	e9/l	e9/l	Number Concentration	1	1397	432
3010813	b-leuc	e9/l	e9/l	Number Concentration	1	4054	1241
3029937	u-alb-o			Presence or Threshold		352408	91802
-1	u-nitri-o					3789	1287
3048689	f-calpro	ug/g	ug/g	Mass Content	1	131320	50611
3012516	u-alb	mg/l	mg/l	Mass Concentration	1	246601	83041
3009508	u-krea	mmol/l	mmol/l	Substance Concentration	1	389296	120802
3020682	u-albkre	mg/mmol	mg/mmol	Ratio	1	243181	79494
3013826	p-gluk			Substance Concentration		87239	45690
43054914	pt-gluk-r1			-		70801	42697
3029287	u-solut			Number Concentration		557129	160434
3022096	l-baso	%	%	Number Fraction	1	929487	140244
40760892	b-diffi			-		1002354	153329
3006315	b-baso	e9/l	e9/l	Number Concentration	1	1025988	189929
3002030	l-ly	%	%	Number Fraction	1	138412	32024
3019069	l-monos	%	%	Number Fraction	1	434603	81140
3013115	b-eos	e9/l	e9/l	Number Concentration	1	1093252	199729
3013650	b-neut	e9/l	e9/l	Number Concentration	1	1797664	224877
3019198	l-ly	e9/l	e9/l	Number Concentration	1	2846	1081
3001604	l-mon	e9/l	e9/l	Number Concentration	1	1709	614
-1	p-krea					715779	156053
3019198	l-lymf	e9/l	e9/l	Number Concentration	1	2342	846
3003694	e-aborh			Type		175487	131418
3001079	p-vrab-o			Presence or Threshold		290221	117349
3022217	p-tt-inr	inr	inr	Relative time	1	922702	137624
3021337	p-tni			Mass Concentration		73308	35143
3024561	p-alb	g/l	g/l	Mass Concentration	1	870537	172287
3044938	-infanho			Presence or Threshold		122139	64490
3038288	-infbnho			Presence or Threshold		95225	51407
3043924	-rsvnho			Presence or Identity		99482	54536
706163	-cv19nho			Presence or Threshold		890562	280097
-1	8836					6811	4192
-1	10299	mmol/l				25386	6499
-1	11564	mmol/l				22683	5852
40771025	s-d-25	nmol/l	nmol/l	Substance Concentration	1	380202	165590
3016431	s-ca-ion			Substance Concentration		218067	65712
3020460	p-crp	mg/l	mg/l	Mass Concentration	1	3939858	321913
3023368	b-baktvi			Presence or Identity		499207	120555
3013826	p-gluk	mmol/l	mmol/l	Substance Concentration	1	1188098	241259
3019977	ab-ph	ph	ph	Log molar concentration	1	116917	26751
3027801	ab-po2	kpa	kpa	Partial pressure	1	391556	48875
3023081	b-hb-co	%	%	Mass fraction	1	82148	17085
3027946	ab-pco2	kpa	kpa	Partial pressure	1	392179	48912
3007930	b-hb-met	%	%	Mass fraction	1	81067	16654
40762366	ab-o2-vol	%		Volume Fraction		247005	24275
3003396	ab-be	mmol/l	mmol/l	Substance Concentration	1	330584	38892
3008152	ab-ahco3	mmol/l	mmol/l	Substance Concentration	1	102156	19561
3002173	ab-hb	g/l	g/l	Mass Concentration	1	300765	29008
3016431	ab-ca-i7.4	mmol/l	mmol/l	Substance Concentration	1	52168	8286
3023103	b-k	mmol/l	mmol/l	Substance Concentration	1	59422	9339
3019550	b-na	mmol/l	mmol/l	Substance Concentration	1	59360	9287
3047181	b-laktteh	mmol/l	mmol/l	Substance Concentration	1	59507	9983
3021347	ab-ca-ion	mmol/l	mmol/l	Substance Concentration	1	52238	8311
3016502	ab-hbo2sat	%	%	Mass fraction	1	123722	26720
3018572	b-cl	mmol/l	mmol/l	Substance Concentration	1	51262	8022
3039000	b-angap	mmol/l	mmol/l	Substance Concentration	1	51115	8019
3019060	ab-vkteho			-		57656	8569
3011960	p-bnp	ng/l	ng/l	Mass Concentration	1	88507	29683
3012544	vb-ph	ph	ph	Log molar concentration	1	90622	24108
3021447	vb-pco2	kpa	kpa	Partial pressure	1	187248	44581
3002032	vb-be	mmol/l	mmol/l	Substance Concentration	1	127083	34680
3027273	vb-ahco3	mmol/l	mmol/l	Substance Concentration	1	37230	10100
3004119	vb-hb	g/l	g/l	Mass Concentration	1	61616	16978
0	vb-vkperus					5469	1322
3047181	b-lakteh	mmol/l	mmol/l	Substance Concentration	1	345	103
-1	ab-vkperus					2756	1390
-1	cb-hb-v					316	236
3016771	p-amyl	u/l	u/l	Catalytic Concentration	1	342911	127020
-1	ab-vklaaja					4860	2364
-1	11554					25522	6509
3044640	b-xkoe			-		354396	144231
3013826	p-gluk-vt	mmol/l	mmol/l	Substance Concentration	1	2048	1376
3020564	p-krea-vt	umol/l	umol/l	Substance Concentration	1	2804	1386
3019550	p-na-vt	mmol/l	mmol/l	Substance Concentration	1	2849	1389
3023103	p-k-vt	mmol/l	mmol/l	Substance Concentration	1	2199	1103
-1	ab-ph-vt					266	160
-1	ab-pco2-vt	kpa				92	69
-1	ab-po2-vt	kpa				95	72
3041008	ab-ahco3vt	mmol/l	mmol/l	Substance Concentration	1	90	70
-1	ab-be-vt	mmol/l				45	33
3016502	ab-hbo2svt	%	%	Mass fraction	1	65	53
3021347	ab-caionvt	mmol/l	mmol/l	Substance Concentration	1	84	63
3047181	b-laktevt	mmol/l	mmol/l	Substance Concentration	1	408	268
3001122	s-ferrit	ug/l	ug/l	Mass Concentration	1	228321	97993
3019198	b-ly	e9/l	e9/l	Number Concentration	1	784182	156318
3001604	b-monos	e9/l	e9/l	Number Concentration	1	965990	183122
3022250	p-ld	u/l	u/l	Catalytic Concentration	1	215688	48616
3046279	p-pct	ug/l	ug/l	Mass Concentration	1	23335	12009
-1	f-astrnho					3895	2551
3051552	f-cldtnho			Presence or Threshold		54932	33093
-1	8633					1728	1197
-1	8634					1728	1197
-1	8635					1728	1197
-1	8636					1728	1197
-1	8637					1728	1197
-1	8638					1728	1197
-1	8639					1728	1197
-1	8640					1728	1197
-1	8641					1728	1197
-1	8657					1764	1188
-1	8658					1764	1188
-1	8659					1764	1188
-1	8826					1793	1205
3026389	-candvi			Presence or Identity		9451	7077
3000494	sk-sienvi			Presence or Identity		44867	35314
3006923	p-alat			Catalytic Concentration		616499	153006
3013603	p-psa			Mass Concentration		146785	39650
3001784	p-psa-suh			Mass fraction		146231	43699
3045783	p-nak			Substance Concentration		258807	31244
3023103	p-k			Substance Concentration		795830	165666
3019550	p-na			Substance Concentration		695679	147123
3007461	b-pvk+tmd			Number Concentration		31354	14117
3005785	p-ck-mbm			Mass Concentration		9529	6508
3019800	p-tnt			Mass Concentration		113042	62948
3009542	b-hkr			Volume Fraction		1000285	173686
3000963	b-hb			Mass Concentration		983865	168666
3010813	fb-leuk			Number Concentration		81250	19009
3007461	b-tromb			Number Concentration		78016	17621
46236098	e-vrtark			Type		266214	110617
0	b-vr+vrab					11936	11016
3013650	b-neut			Number Concentration		712727	103016
40758558	b-pvk+ne			-		301297	44535
3015736	u-ph			Log molar concentration		359402	120854
3013603	p-psa	ug/l	ug/l	Mass Concentration	1	354438	82054
3010813	fb-leuk	e9/l	e9/l	Number Concentration	1	326274	40616
3007461	b-tromb	e9/l	e9/l	Number Concentration	1	323035	39514
3042936	pu-baktvi1			Presence or Identity		131106	64085
3019198	b-ly			Number Concentration		343526	66706
3006315	b-baso			Number Concentration		378604	75310
3001604	b-monos			Number Concentration		393708	81316
3013115	b-eos			Number Concentration		403787	78281
3013707	b-la			Velocity (distance/time)		174785	75375
40760892	b-tvk			-		466219	100641
3020460	p-crp-o			Mass Concentration		41914	22984
3020460	oma-p-crp			Mass Concentration		14703	6203
3022948	p-fe			Substance Concentration		740	553
3001122	p-ferrit			Mass Concentration		70782	35227
3015399	s-tfr			Mass Concentration		3397	2453
3026493	p-uraat			Substance Concentration		41530	22214
3023602	fp-kol-hdl			Substance Concentration		290578	95352
3048773	fp-trigly			Substance Concentration		255896	97476
-1	8656					1792	1205
3013512	oma-pt-ekg			Finding		14205	5110
3005785	p-ck-mbm	ug/l	ug/l	Mass Concentration	1	69820	29687
3019800	p-tnt	ng/l	ng/l	Mass Concentration	1	404684	105722
40761535	u-solu.			-		87059	24025
3012095	p-mg	mmol/l	mmol/l	Substance Concentration	1	247743	65747
3029187	p-probnp	ng/l	ng/l	Mass Concentration	1	318023	102593
3008486	p-t4-v	pmol/l	pmol/l	Substance Concentration	1	904319	245223
40758047	pf-lzm			Mass Concentration		28	27
3040491	pf-ace			Catalytic Concentration		162	155
3034780	fs-ace			Catalytic Concentration		3287	2046
3012110	s-lzm	mg/l	mg/l	Mass Concentration	1	24688	11635
43054903	s-b12-tc2			Substance Concentration		227726	125700
3019309	fe-folaat	nmol/l	nmol/l	Substance Concentration	1	76696	54516
3015399	s-tfr	mg/l	mg/l	Mass Concentration	1	75736	36806
3016431	p-ca-ion	mmol/l	mmol/l	Substance Concentration	1	37154	15941
3021347	p-ca-iona	mmol/l	mmol/l	Substance Concentration	1	404577	45532
3018418	p-ph			Log molar concentration		8004	4802
3020460	p-crp-o	mg/l	mg/l	Mass Concentration	1	29537	16334
-1	oma-u-kemseul					230	191
3019800	p-tnt-o			Mass Concentration		17449	10399
3014576	p-cl	mmol/l	mmol/l	Substance Concentration	1	441207	56017
3014007	ab-hbo2	%	%	Mass fraction	1	293958	28155
3020891	pt-lämpöt	°c		Temperature		66436	12754
3003396	ab-be			Substance Concentration		59550	18112
3028653	ab-hb-co	%	%	Mass fraction	1	287728	27580
3006217	ab-hb-met	%	%	Mass fraction	1	290815	27801
3008152	ab-shco3	mmol/l	mmol/l	Substance Concentration	1	51255	11088
3002173	ab-thb	g/l	g/l	Mass Concentration	1	48634	10238
3043409	ap-k	mmol/l	mmol/l	Substance Concentration	1	50240	10802
3019550	ap-na	mmol/l	mmol/l	Substance Concentration	1	50237	10802
3018405	ap-laktaat	mmol/l	mmol/l	Substance Concentration	1	49185	10418
3016431	p-ca-ion.	mmol/l	mmol/l	Substance Concentration	1	356672	39413
3019060	ab-vekaasl			-		48520	10015
3015171	s-enaab			Arbitrary Concentration		21265	17163
3003284	s-anca			Titer		14034	11001
3023150	s-mpoab			Arbitrary Concentration		9599	7072
3009445	s-pr3ab			Arbitrary Concentration		27021	19098
3004383	s-c-anca			Titer		9104	7550
3003284	s-p-anca			Titer		8518	7204
3012477	-bopenho			Presence or Threshold		12026	8684
3031478	-chpnnho			Presence or Threshold		12165	8576
3016881	-evirnho			Presence or Threshold		7886	4685
3020565	-lepnnho			Presence or Threshold		9507	6753
3002482	-mypnnho			Presence or Threshold		14832	10392
3025023	-rinonho			Presence or Threshold		7393	4282
3040853	-adennho			Presence or Identity		19254	11839
40765161	-bokanho			Presence or Threshold		12969	7714
40763324	-pin1nho			Presence or Threshold		9233	5978
3012158	-pin2nho			Presence or Threshold		9231	5976
3006262	-pin3nho			Presence or Threshold		9227	5972
40763470	-pin4nho			Presence or Threshold		9227	5972
3042194	-hmpvnho			Presence or Threshold		14666	9565
3030692	-rvirnho			Presence or Identity		8794	5705
-1	-rbaktnho					4644	3194
-1	-bopanho					1739	1300
-1	-rsvanho					1758	1318
-1	-rsvbnho					1757	1318
3038546	kvoc43nho			Presence or Threshold		5976	3681
3040359	kvnl63nho			Presence or Threshold		5974	3681
3041642	kv229enho			Presence or Threshold		5974	3681
3013603	s-psa	ug/l	ug/l	Mass Concentration	1	88424	40096
3001784	s-psa-suh	%	%	Mass fraction	1	15340	7847
3006923	s-alat	u/l	u/l	Catalytic Concentration	1	323438	128728
-1	fs-mbopak6					372	309
3026910	s-gt	u/l	u/l	Catalytic Concentration	1	178336	95682
3019900	fs-kol	mmol/l	mmol/l	Substance Concentration	1	255206	109871
3023602	fs-kol-hdl	mmol/l	mmol/l	Substance Concentration	1	254480	109497
3001308	fs-kol-ldl	mmol/l	mmol/l	Substance Concentration	1	255211	109843
3048773	fs-trigly	mmol/l	mmol/l	Substance Concentration	1	258906	110568
3020564	fs-krea	umol/l	umol/l	Substance Concentration	1	277757	123620
3019550	s-na	mmol/l	mmol/l	Substance Concentration	1	124118	68077
3017446	s-testo	nmol/l	nmol/l	Substance Concentration	1	77573	35827
3023103	s-k	mmol/l	mmol/l	Substance Concentration	1	138249	71399
40768800	ts-padpros			Finding		9355	7654
1761868	fs-lipidit			-		131793	66818
3021589	b-erybla	e9/l	e9/l	Number Concentration	1	1045850	95355
40761511	b-pvk			-		1080334	96641
40764999	pt-gfre	ml/min/173m2	ml/min/173m2	Volume Rate/Area	1	1098274	193102
3005013	s-psa-v	ug/l	ug/l	Mass Concentration	1	22261	10345
3001784	p-psa-suh	%	%	Mass fraction	1	93806	29667
3005013	p-psa-v	ug/l	ug/l	Mass Concentration	1	112770	40954
40771025	s-d-25			Substance Concentration		19003	13026
3015399	p-tfr			Mass Concentration		51634	30837
40763571	fp-trfesat			Ratio		4592	2955
3004789	fp-transf			Mass Concentration		13665	9432
3022948	fp-fe			Substance Concentration		12370	8538
3021589	b-erybla			Number Concentration		184649	37854
