OMOP_CONCEPT_ID	TEST_NAME	MEASUREMENT_UNIT	n_subjects	n_records	decile	decile_MEASUREMENT_VALUE	decile_MEASUREMENT_VALUE_HARMONIZED
3026361	b-eryt	e12/l	46365	802617	0.1	3.3184476887920695	3.3184476887920695
3026361	b-eryt	e12/l	46365	802617	0.2	3.709511150686615	3.709511150686615
3026361	b-eryt	e12/l	46365	802617	0.3	3.984173474277441	3.984173474277441
3026361	b-eryt	e12/l	46365	802617	0.4	4.184103017092945	4.184103017092945
3026361	b-eryt	e12/l	46365	802617	0.5	4.352425292759903	4.352425292759903
3026361	b-eryt	e12/l	46365	802617	0.6	4.504882360837358	4.504882360837358
3026361	b-eryt	e12/l	46365	802617	0.7	4.66202367447686	4.66202367447686
3026361	b-eryt	e12/l	46365	802617	0.8	4.83828411889304	4.83828411889304
3026361	b-eryt	e12/l	46365	802617	0.9	5.083573317726006	5.083573317726006
3024731	e-mcv	fl	47095	1001937	0.1	84.76642836667969	84.76642836667969
3024731	e-mcv	fl	47095	1001937	0.2	87.00417263679483	87.00417263679483
3024731	e-mcv	fl	47095	1001937	0.3	88.89486792877553	88.89486792877553
3024731	e-mcv	fl	47095	1001937	0.4	90.01685715603384	90.01685715603384
3024731	e-mcv	fl	47095	1001937	0.5	91.06099343081489	91.06099343081489
3024731	e-mcv	fl	47095	1001937	0.6	92.83047589128668	92.83047589128668
3024731	e-mcv	fl	47095	1001937	0.7	94.00598779382366	94.00598779382366
3024731	e-mcv	fl	47095	1001937	0.8	95.99171441328444	95.99171441328444
3024731	e-mcv	fl	47095	1001937	0.9	98.61965966057114	98.61965966057114
3009542	b-hkr	%	32317	482469	0.1	30.06845154426673	29.40011371104756
3009542	b-hkr	%	32317	482469	0.2	33.49633908093969	32.983822766273924
3009542	b-hkr	%	32317	482469	0.3	36.00389487363387	35.92396629021961
3009542	b-hkr	%	32317	482469	0.4	37.97793239789045	37.908728508607915
3009542	b-hkr	%	32317	482469	0.5	39.20876842381378	39.05330711859471
3009542	b-hkr	%	32317	482469	0.6	40.89709871925229	40.68566773733185
3009542	b-hkr	%	32317	482469	0.7	42.00044433424628	42.000232963566596
3009542	b-hkr	%	32317	482469	0.8	43.46747521711177	43.24931633983648
3009542	b-hkr	%	32317	482469	0.9	45.2773152777506	45.166422883418136
3018251	fp-gluk		12034	37333	0.1	5.203872282035561	
3018251	fp-gluk		12034	37333	0.2	5.485957121576331	
3018251	fp-gluk		12034	37333	0.3	5.692635967488695	
3018251	fp-gluk		12034	37333	0.4	5.921914740294979	
3018251	fp-gluk		12034	37333	0.5	6.1295059728284045	
3018251	fp-gluk		12034	37333	0.6	6.373087362784507	
3018251	fp-gluk		12034	37333	0.7	6.695895873611814	
3018251	fp-gluk		12034	37333	0.8	7.18743709732694	
3018251	fp-gluk		12034	37333	0.9	8.188921722206228	
3000963	b-hb	g/l	47092	1004720	0.1	98.69004456514568	98.69004456514568
3000963	b-hb	g/l	47092	1004720	0.2	110.2498715571202	110.2498715571202
3000963	b-hb	g/l	47092	1004720	0.3	118.67998352213385	118.67998352213385
3000963	b-hb	g/l	47092	1004720	0.4	125.09006136372712	125.09006136372712
3000963	b-hb	g/l	47092	1004720	0.5	130.313323204355	130.313323204355
3000963	b-hb	g/l	47092	1004720	0.6	134.9935052518732	134.9935052518732
3000963	b-hb	g/l	47092	1004720	0.7	139.5879216262905	139.5879216262905
3000963	b-hb	g/l	47092	1004720	0.8	144.82003169922444	144.82003169922444
3000963	b-hb	g/l	47092	1004720	0.9	151.93561152355934	151.93561152355934
3003338	e-mchc	g/l	37086	681380	0.1	314.6895957378043	314.6895957378043
3003338	e-mchc	g/l	37086	681380	0.2	320.6173533825595	320.6173533825595
3003338	e-mchc	g/l	37086	681380	0.3	324.60403831237585	324.60403831237585
3003338	e-mchc	g/l	37086	681380	0.4	327.78307981278437	327.78307981278437
3003338	e-mchc	g/l	37086	681380	0.5	330.8995419726653	330.8995419726653
3003338	e-mchc	g/l	37086	681380	0.6	333.46585171570933	333.46585171570933
3003338	e-mchc	g/l	37086	681380	0.7	336.83931228999495	336.83931228999495
3003338	e-mchc	g/l	37086	681380	0.8	340.4856035868248	340.4856035868248
3003338	e-mchc	g/l	37086	681380	0.9	345.69518071469605	345.69518071469605
3035941	e-mch	pg	47077	1002231	0.1	27.896421981173848	27.896421981173848
3035941	e-mch	pg	47077	1002231	0.2	28.999749277972196	28.999749277972196
3035941	e-mch	pg	47077	1002231	0.3	29.010193211343488	29.010193211343488
3035941	e-mch	pg	47077	1002231	0.4	30	30
3035941	e-mch	pg	47077	1002231	0.5	30.005128524955936	30.005128524955936
3035941	e-mch	pg	47077	1002231	0.6	31	31
3035941	e-mch	pg	47077	1002231	0.7	31.0019254222893	31.0019254222893
3035941	e-mch	pg	47077	1002231	0.8	32	32
3035941	e-mch	pg	47077	1002231	0.9	32.999891886480746	32.999891886480746
3023103	p-k	mmol/l	41275	673699	0.1	3.4999617311694102	3.4999617311694102
3023103	p-k	mmol/l	41275	673699	0.2	3.695647555031449	3.695647555031449
3023103	p-k	mmol/l	41275	673699	0.3	3.799984942126511	3.799984942126511
3023103	p-k	mmol/l	41275	673699	0.4	3.8999847766511637	3.8999847766511637
3023103	p-k	mmol/l	41275	673699	0.5	3.99999611983232	3.99999611983232
3023103	p-k	mmol/l	41275	673699	0.6	4.099990597663307	4.099990597663307
3023103	p-k	mmol/l	41275	673699	0.7	4.1999927918303195	4.1999927918303195
3023103	p-k	mmol/l	41275	673699	0.8	4.348006957900895	4.348006957900895
3023103	p-k	mmol/l	41275	673699	0.9	4.5799481796267605	4.5799481796267605
3007461	b-trom	e9/l	46254	789420	0.1	154.25263133550456	154.25263133550456
3007461	b-trom	e9/l	46254	789420	0.2	186.49804054297982	186.49804054297982
3007461	b-trom	e9/l	46254	789420	0.3	209.01175023893327	209.01175023893327
3007461	b-trom	e9/l	46254	789420	0.4	228.49064361065513	228.49064361065513
3007461	b-trom	e9/l	46254	789420	0.5	247.551902164917	247.551902164917
3007461	b-trom	e9/l	46254	789420	0.6	267.42024076007687	267.42024076007687
3007461	b-trom	e9/l	46254	789420	0.7	290.6877683905356	290.6877683905356
3007461	b-trom	e9/l	46254	789420	0.8	320.9696760992759	320.9696760992759
3007461	b-trom	e9/l	46254	789420	0.9	373.89198751384873	373.89198751384873
3019550	p-na	mmol/l	41347	670020	0.1	133.91652767067885	133.91652767067885
3019550	p-na	mmol/l	41347	670020	0.2	136.34644274380219	136.34644274380219
3019550	p-na	mmol/l	41347	670020	0.3	137.98159207559695	137.98159207559695
