OMOP_CONCEPT_ID	TEST_NAME	MEASUREMENT_UNIT	value_source	n_records	n_subjects
3026361	b-eryt	e12/l	Source	8026175	463658
3024731	e-mcv	fl	Source	10019372	470953
3009542	b-hkr	%	Source	4824693	323177
3018251	fp-gluk		Extracted	373330	120342
3000963	b-hb	g/l	Source	10047207	470926
3003338	e-mchc	g/l	Source	6813808	370867
3035941	e-mch	pg	Source	10022310	470770
3023103	p-k	mmol/l	Source	6736995	412757
3007461	b-trom	e9/l	Source	7894206	462549
3019550	p-na	mmol/l	Source	6700201	413476
3019900	fp-kol		Extracted	245770	91625
3023602	fp-kol-hdl	mmol/l	Source	1110652	317791
3048773	fp-trigly	mmol/l	Source	1104071	315725
3001308	fp-kol-ldl		Extracted	294312	104814
3020564	p-krea	umol/l	Source	7088058	406766
3002385	e-rdw	%	Source	5838096	349219
3010813	b-leuk	e9/l	Source	7601140	460878
3009201	p-tsh	mu/l	Source	1315115	310808
3006923	p-alat	u/l	Source	4339401	409416
3051714	p-fidd	mg/l	Source	116814	65720
3018251	fp-gluk	mmol/l	Source	1527272	374909
3019900	fp-kol	mmol/l	Source	1160365	322950
3001308	fp-kol-ldl	mmol/l	Source	1258917	329151
3004410	b-hba1c	mmol/mol	Source	1619588	370695
40764999	pt-gfreepi	ml/min/173m2	Source	2254869	256010
3026361	b-eryt		Extracted	2671564	244934
3033658	p-tt	%	Source	465481	109795
3010813	b-leuk		Extracted	2588172	231711
3007461	b-trom		Extracted	2410567	214025
3021337	p-tni	ng/l	Source	218179	55613
3035995	p-afos	u/l	Source	2452549	302825
3016417	p-amylp	u/l	Source	91217	36907
3006140	p-bil	umol/l	Source	1372979	214498
3024731	e-mcv		Extracted	858997	141428
3003338	e-mchc		Extracted	305101	70890
3035941	e-mch		Extracted	855476	140906
3002385	e-rdw		Extracted	441580	85593
3025839	p-trigly		Extracted	60058	33053
3009201	p-tsh		Extracted	344038	111114
3008486	p-t4-v		Extracted	203327	68812
40764999	pt-gfre		Extracted	119180	32484
3019900	p-kol		Extracted	63554	34727
3023602	p-kol-hdl		Extracted	61104	33328
3001308	p-kol-ldl		Extracted	76303	39853
3019150	u-suhti		Source	118625	44665
3015736	u-ph	ph	Source	292016	106339
3002582	u-eryt		Extracted	157101	58535
3030467	u-lier		Extracted	155287	56661
3029879	u-levyep		Extracted	135472	48550
3030306	u-pienep		Extracted	135156	48414
3019150	u-suhti		Extracted	142806	39575
3018095	u-leuk		Extracted	156372	58541
-1	p-krea		Extracted	596381	123564
3035995	p-afos		Extracted	179424	71291
3016417	p-amylp		Extracted	5279	4126
3026910	p-gt	u/l	Source	716550	230901
3009542	b-hkr	ratio	Source	5109148	290356
3013707	b-la	mm/h	Source	1232796	306006
3019150	u-suhti	kg/l	Source	44478	14872
3009201	s-tsh	mu/l	Source	248419	128251
3022621	u-ph-o	ph	Source	36772	11645
3013721	p-asat	u/l	Source	444748	133332
3002030	l-lymf	%	Source	287232	52568
3018010	l-neut	%	Source	378347	72562
3019198	l-lymf	e9/l	Source	2342	846
3017732	l-neut	e9/l	Source	4518	1546
3006504	l-eos	%	Source	942600	142313
3022096	l-bas	%	Source	7218	2237
3013115	l-eos	e9/l	Source	4145	1341
3006315	l-baso	e9/l	Source	4039	1335
3019069	l-mon	%	Source	12735	3460
3001604	l-mono	e9/l	Source	1397	432
3010813	b-leuc	e9/l	Source	4054	1241
3048689	f-calpro	ug/g	Source	130628	50504
3012516	u-alb	mg/l	Source	245848	82861
3009508	u-krea	mmol/l	Source	389194	120793
3020682	u-albkre	mg/mmol	Source	242629	79352
3022096	l-baso	%	Source	929195	140236
3006315	b-baso	e9/l	Source	1025694	189918
3002030	l-ly	%	Source	138412	32024
3019069	l-monos	%	Source	434311	81132
3013115	b-eos	e9/l	Source	1092958	199718
3013650	b-neut	e9/l	Source	1796760	224870
3019198	l-ly	e9/l	Source	2846	1081
