concept_class_id	concept_class_name	concept_class_concept_id
Domain	Domain	44819025
Vocabulary	OMOP Vocabulary	44819279
Concept Class	OMOP Concept Class	44819247
Relationship	OMOP Relationship	44819274
Procedure	Procedure	44819080
Disorder	Disorder	33099
ICD10 SubChapter	ICD10 SubChapter	32743
Clinical Finding	Clinical Finding	44818997
ICD10 Chapter	ICD10 Chapter	32742
Context-dependent	Situation with explicit context	44819051
Observable Entity	Observable Entity	44819029
Event	Event	44819056
Nodes	Lymph node metastases	32932
ICD10 Hierarchy	ICD10 Hierarchy	45754906
Lab Test	Laboratory Class	45754678
Metastasis	Distant metastases	32937
ICD10 code	ICD10 code	44819258
