concept_id_1	concept_id_2	relationship_id	valid_start_date	valid_end_date	invalid_reason
37018648	37018648	Maps to	20160131	20991231	
45548995	40480054	Maps to	20141010	20991231	
45587537	40482699	Maps to	20141010	20991231	
36539989	36539989	Maps to	20150918	20991231	
36552402	36552402	Maps to	20150918	20991231	
36559392	36559392	Maps to	20150918	20991231	
36676615	36676615	Maps to	20190131	20991231	
42617864	44782549	Maps to	20220809	20991231	
45755901	442349	Maps to	20220809	20991231	
45552124	1340204	Maps to	20220809	20991231	
45605166	1340204	Maps to	20220809	20991231	
45552125	1340204	Maps to	20210406	20991231	
45553754	4023405	Maps to	20230927	20991231	
42617864	138841	Maps to	20240226	20991231	
1529276	4069652	Maps to	20240226	20991231	
45577512	36712845	Maps to	20240226	20991231	
45539078	44805020	Maps to	20240226	20991231	
45561642	1340204	Maps to	20240226	20991231	
42616808	762446	Maps to	20181128	20991231	
42617210	76784	Maps to	20161201	20991231	
42617219	4239337	Maps to	20161201	20991231	
42617383	80497	Maps to	20181128	20991231	
42617650	4068616	Maps to	20181128	20991231	
42617737	138841	Maps to	20181128	20991231	
42617760	80497	Maps to	20181128	20991231	
42617760	4068619	Maps to	20161201	20991231	
42617800	80497	Maps to	20181128	20991231	
42617877	436787	Maps to	20181128	20991231	
42618255	4090616	Maps to	20181128	20991231	
42618283	4000982	Maps to	20161201	20991231	
42618474	378523	Maps to	20161201	20991231	
42618662	4004623	Maps to	20161201	20991231	
42618664	4004623	Maps to	20161201	20991231	
42618861	77630	Maps to	20181128	20991231	
42618861	4233830	Maps to	20161201	20991231	
42618888	75920	Maps to	20161201	20991231	
42619075	77630	Maps to	20181128	20991231	
42619310	77635	Maps to	20181128	20991231	
45577034	40547222	Maps to	20210204	20991231	
36521949	36521949	Maps to	20150918	20991231	
36546436	36546436	Maps to	20150918	20991231	
36554343	36554343	Maps to	20150918	20991231	
36556013	36556013	Maps to	20150918	20991231	
36565274	36565274	Maps to	20150918	20991231	
36566069	36566069	Maps to	20150918	20991231	
44499882	44499882	Maps to	20150918	20991231	
44501809	44501809	Maps to	20150918	20991231	
44502120	44502120	Maps to	20150918	20991231	
4003175	4003175	Maps to	19700101	20991231	
4003649	4003649	Maps to	19700101	20991231	
4008578	4008578	Maps to	19700101	20991231	
4094856	4094856	Maps to	19700101	20991231	
4096951	4096951	Maps to	19700101	20991231	
4098475	4098475	Maps to	19700101	20991231	
45601217	4066733	Maps to	20220809	20991231	
45576089	4105886	Maps to	20230927	20991231	
45539084	37162983	Maps to	20240226	20991231	
45609406	4201705	Maps to	20240226	20991231	
42616675	4064048	Maps to	20161201	20991231	
42616946	77073	Maps to	20161201	20991231	
42617228	40482662	Maps to	20181128	20991231	
42617347	443795	Maps to	20181128	20991231	
42617551	443795	Maps to	20181128	20991231	
42617613	195906	Maps to	20191031	20991231	
42617776	195906	Maps to	20181128	20991231	
42617814	195906	Maps to	20181128	20991231	
42617832	77639	Maps to	20161201	20991231	
42618431	138845	Maps to	20161201	20991231	
42618562	4067765	Maps to	20161201	20991231	
42618735	4100824	Maps to	20161201	20991231	
42618981	46270395	Maps to	20161201	20991231	
42619089	75910	Maps to	20181128	20991231	
42619098	75910	Maps to	20161201	20991231	
42619155	78308	Maps to	20161201	20991231	
42616810	4114447	Maps to	20161201	20991231	
42616978	77072	Maps to	20161201	20991231	
42617239	4285734	Maps to	20161201	20991231	
42617521	440814	Maps to	20161201	20991231	
42617521	443795	Maps to	20181128	20991231	
42617537	4182166	Maps to	20181128	20991231	
42617675	436785	Maps to	20161201	20991231	
42618271	4118008	Maps to	20161201	20991231	
42618670	80502	Maps to	20161201	20991231	
42618712	44782620	Maps to	20181128	20991231	
42618907	44782620	Maps to	20181128	20991231	
42619017	138847	Maps to	20161201	20991231	
46269706	46269706	Maps to	20150731	20991231	
3654667	3654667	Maps to	20200731	20991231	
45542610	197799	Maps to	20210204	20991231	
36403072	36403072	Maps to	20150918	20991231	
36528594	36528594	Maps to	20150918	20991231	
36547892	36547892	Maps to	20150918	20991231	
36548665	36548665	Maps to	20150918	20991231	
44500483	44500483	Maps to	20150918	20991231	
44501066	44501066	Maps to	20150918	20991231	
44501947	44501947	Maps to	20150918	20991231	
45572698	606934	Maps to	20220809	20991231	
45577830	4098135	Maps to	20230927	20991231	
45601142	4090111	Maps to	20240226	20991231	
45544045	37167888	Maps to	20240226	20991231	
45532812	438959	Maps to	20140701	20991231	
45532901	435493	Maps to	20181128	20991231	
45533561	4055483	Maps to	19700101	20991231	
45539316	78786	Maps to	19700101	20991231	
45539327	443782	Maps to	20131121	20991231	
45542544	4284824	Maps to	19700101	20991231	
45543147	4096343	Maps to	20140701	20991231	
45543936	4065624	Maps to	20140701	20991231	
45544031	37116834	Maps to	20181128	20991231	
45544081	314463	Maps to	20161201	20991231	
45546221	197751	Maps to	20140701	20991231	
45548407	73012	Maps to	20141010	20991231	
45550519	436209	Maps to	20181128	20991231	
45550901	4309483	Maps to	20181128	20991231	
45551586	441188	Maps to	20181128	20991231	
45552331	433981	Maps to	20140701	20991231	
45553950	4002499	Maps to	20141014	20991231	
45555698	4309929	Maps to	20161201	20991231	
45556849	4154624	Maps to	20181128	20991231	
45557949	439907	Maps to	20141014	20991231	
45566865	372900	Maps to	20141010	20991231	
45567331	199074	Maps to	20140701	20991231	
45567891	35625971	Maps to	20181128	20991231	
45571673	26935	Maps to	20140701	20991231	
45572320	78357	Maps to	20140701	20991231	
45576168	4154624	Maps to	20161201	20991231	
45576562	4053178	Maps to	20131121	20991231	
45576652	436986	Maps to	20140701	20991231	
45581016	4016911	Maps to	20181128	20991231	
45581017	44784283	Maps to	20181128	20991231	
45581955	4343205	Maps to	20131121	20991231	
45582401	195590	Maps to	19700101	20991231	
45582641	321107	Maps to	19700101	20991231	
45585940	442783	Maps to	19700101	20991231	
45586704	201603	Maps to	19700101	20991231	
45587303	81360	Maps to	20140701	20991231	
45592130	201344	Maps to	19700101	20991231	
