sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer,ADD_INFO:sourceConceptId,ADD_INFO:sourceConceptClass,ADD_INFO:sourceDomain,ADD_INFO:sourceValidStartDate,ADD_INFO:sourceValidEndDate,ADD_INFO:sourceParents,ADD_INFO:sourceParentVocabulary,ADD_INFO:auto_concept_id_equivalence,ADD_INFO:sourceName_fi,ADD_INFO:validationMessages,ADD_INFO:autoUpdatingInfo
6806A,"Carbuncle and furuncle, Leg, except foot",22,36715557,0.83,APPROVED,EQUIVALENT,Javier,1642756805650,36715557,Pyogenic infection of skin and subcutaneous tissues caused by bacterium,Condition,MAPS_TO,,<auto>,1642597787284,,2000405376,5-char ICD9fi,Condition,1970-01-01,2099-12-31,680,,unique_parent_match,CARBUNCULUS EXTREMITATIS INFERIORIS PEDE EXCEPTO,,2025-06-30 | conceptName changed from Carbuncle of leg (excluding foot) to Pyogenic infection of skin and subcutaneous tissues caused by bacterium
1174A,"Other mycoses, Mycotic mycetomas",0,194586,0.71,APPROVED,EQUIVALENT,Javier,1642756805650,194586,Eumycotic mycetoma,Condition,MAPS_TO,,<auto>,1642597787465,,2000400852,5-char ICD9fi,Condition,1970-01-01,2099-12-31,117,,unique_parent_match,MYCETOMA MYCOTICUM,,
4859X,"Bronchopneumonia, organism unspecified[PNEUMONIA NUD]",2204,256722,0.52,APPROVED,NARROWER,Javier,1642756721361,256722,Bronchopneumonia,Condition,MAPS_TO,,<auto>,1642597787983,,2000403973,5-char ICD9fi,Condition,1970-01-01,2099-12-31,485,,grandparent_match,PNEUMONIA NUD,,
487,Influenza,0,4266367,1,APPROVED,EQUAL,Javier,1642756146926,4266367,Influenza,Condition,MAPS_TO,,<auto>,1642597789310,,2000403974,3-char ICD9fi,Condition,1970-01-01,2099-12-31,480-487,,full_match,INFLUENZA,,
1175A,"Other mycoses, Cryptococcosis",0,440035,0.73,APPROVED,EQUIVALENT,Javier,1642756805650,440035,Cryptococcosis,Condition,MAPS_TO,,<auto>,1642597789607,,2000400853,5-char ICD9fi,Condition,1970-01-01,2099-12-31,117,,unique_parent_match,CRYPTOCOCCOSIS,,
1844A,"Malignant neoplasm of other and unspecified female genital organs, Vulva, unspecified",0,195197,0.6,APPROVED,EQUIVALENT,Javier,1642756805650,195197,Primary malignant neoplasm of vulva,Condition,MAPS_TO,,<auto>,1642597790030,,2000401600,5-char ICD9fi,Condition,1970-01-01,2099-12-31,184,,unique_parent_match,"NEOPLASMA MALIGNUM VULVAE, LOCO NON DEFINITO",,"2025-06-30 | conceptName changed from Neoplasm, malignant of other specified parts of female genital organs to Primary malignant neoplasm of vulva"
6807A,"Carbuncle and furuncle, Foot",10,46269695,0.67,APPROVED,EQUIVALENT,Javier,1642756805650,46269695,Lesion of skin of foot,Condition,MAPS_TO,,<auto>,1642597790878,,2000405377,5-char ICD9fi,Condition,1970-01-01,2099-12-31,680,,unique_parent_match,CARBUNCULUS PEDIS,,2025-06-30 | conceptName changed from Carbuncle of foot to Lesion of skin of foot
4870A,"Influenza, With pneumonia",6,256723,0.7,APPROVED,EQUIVALENT,Javier,1642756805650,256723,Pneumonia and influenza,Condition,MAPS_TO,,<auto>,1642597791277,,2000403975,5-char ICD9fi,Condition,1970-01-01,2099-12-31,487,,unique_parent_match,INFLUENZA CUM PNEUMONIA,,2025-06-30 | conceptName changed from Parainfluenza virus pneumonia to Pneumonia and influenza
7300K,"Osteomyelitis, periostitis and other infections involving bone, Acute osteomyelitis[OSTEOMYELITIS ACUTA,MULTIPPELI LOKALISAATIO]",0,133002,0.38,APPROVED,NARROWER,Javier,1642756738661,133002,Acute osteomyelitis,Condition,MAPS_TO,,<auto>,1642597791506,,2000406129,5-char ICD9fi,Condition,1970-01-01,2099-12-31,730,,parent_match,"OSTEOMYELITIS ACUTA,MULTIPPELI LOKALISAATIO",,2025-06-30 | conceptName changed from Acute osteomyelitis of pelvic region to Acute osteomyelitis
5586X,"Other non-infective gastro-enteritis and colitis[KROONINEN INFLAMMATOORINEN SUOLISTOSAIRAUS, NUD]",80,4043371,0.45,APPROVED,NARROWER,Javier,1642756721361,4043371,Inflammatory disorder of digestive tract,Condition,MAPS_TO,,<auto>,1642597791716,,2000404423,5-char ICD9fi,Condition,1970-01-01,2099-12-31,558,,grandparent_match,"KROONINEN INFLAMMATOORINEN SUOLISTOSAIRAUS, NUD",,2025-06-30 | conceptName changed from Noninfective enteritis and colitis to Inflammatory disorder of digestive tract | 2025-03-27 | conceptName changed from Non-infective enteritis and colitis to Noninfective enteritis and colitis
1176A,"Other mycoses, Allescheriosis [Petriellidosis]",0,442185,0.53,APPROVED,EQUIVALENT,Javier,1642756805650,442185,Allescheriosis,Condition,MAPS_TO,,<auto>,1642597792336,,2000400854,5-char ICD9fi,Condition,1970-01-01,2099-12-31,117,,unique_parent_match,ALLESCHERIOSIS (PETRIELLIDOSIS),,
362,Other retinal disorders,0,378416,0.76,APPROVED,EQUAL,Javier,1642756146926,378416,Retinal disorder,Condition,MAPS_TO,,<auto>,1642597793573,,2000403231,3-char ICD9fi,Condition,1970-01-01,2099-12-31,360-379,,full_match,ALII MORBI RETINAE,,
9444D,"Burn of wrist(s) and hand(s), Deep necrosis of underlying tissues [deep third degree] without mention of loss of a body part[COMBUST CARPI/MANUS GR III CUM NECR PROF,50-69%]",0,81757,0.34,APPROVED,NARROWER,Javier,1642756738661,81757,Deep third degree burn of upper limb,Condition,MAPS_TO,,<auto>,1642597794210,,2000408313,5-char ICD9fi,Condition,1970-01-01,2099-12-31,944,,parent_match,"COMBUST CARPI/MANUS GR III CUM NECR PROF,50-69%",,2025-06-30 | conceptName changed from Deep third degree burn of wrist to Deep third degree burn of upper limb
1177A,"Other mycoses, Zygomycosis [Phycomycosis or Mucormycosis]",0,432830,0.55,APPROVED,EQUIVALENT,Javier,1642756805650,432830,Zygomycosis,Condition,MAPS_TO,,<auto>,1642597794247,,2000400855,5-char ICD9fi,Condition,1970-01-01,2099-12-31,117,,unique_parent_match,MUCORMYCOSIS,,
4871A,"Influenza, With other respiratory manifestations",69,4183609,0.67,APPROVED,EQUIVALENT,Javier,1642756805650,4183609,Influenzal acute upper respiratory infection,Condition,MAPS_TO,,<auto>,1642597794784,,2000403976,5-char ICD9fi,Condition,1970-01-01,2099-12-31,487,,unique_parent_match,INFLUENZA CUM SYMPTOMATE RESPIRATORIO ALIO,,2025-06-30 | conceptName changed from Influenza with non-respiratory manifestation to Influenzal acute upper respiratory infection
