omop_quantity	source_unit_valid	to_source_unit_valid	conversion	only_to_omop_concepts
-		1	
Arbitrary Concentration	au/ml	au/ml	1	
Arbitrary Concentration	eliau/ml	eliau/ml	1	
Arbitrary Concentration	eliau/ml	u/ml	1	
Arbitrary Concentration	iu/l	iu/l	1	
Arbitrary Concentration	iu/l	iu/ml	1000	
Arbitrary Concentration	iu/l	miu/ml	1	
Arbitrary Concentration	iu/l	mu/l	1000	
Arbitrary Concentration	iu/l	u/l	1	
Arbitrary Concentration	iu/ml	iu/l	1000	
Arbitrary Concentration	iu/ml	iu/ml	1	
Arbitrary Concentration	iu/ml	mu/l	1000	
Arbitrary Concentration	iu/ml	u/ml	1	
Arbitrary Concentration	kiu/l	iu/ml	1	
Arbitrary Concentration	kiu/l	u/ml	1	
Arbitrary Concentration	miu/l	mu/l	1	
Arbitrary Concentration	miu/ml	miu/ml	1	
Arbitrary Concentration	mu/l	iu/l	0.001	
Arbitrary Concentration	mu/l	mu/l	1	
Arbitrary Concentration	u/l	iu/l	1	
Arbitrary Concentration	u/l	iu/ml	1000	
Arbitrary Concentration	u/l	miu/ml	1	
Arbitrary Concentration	u/l	mu/l	1000	
Arbitrary Concentration	u/l	u/l	1	
Arbitrary Concentration	u/l	u/ml	0.001	
Arbitrary Concentration	u/ml	eliau/ml	1	
Arbitrary Concentration	u/ml	iu/ml	1	
Arbitrary Concentration	u/ml	u/ml	1	
Catalytic Concentration	iu/l	u/l	1	
Catalytic Concentration	u/l	u/l	1	
Catalytic Fraction	%	%	1	
Catalytic Ratio	%	%	1	
Decimal number fraction	%	%	1	
Entitic mass	pg	pg	1	
Entitic mass	pg/cell	pg	1	
Entitic volume	fl	fl	1	
Finding	NA	NA	1	
Length fraction	%	%	1	
Length	mm	mm	1	
Log molar concentration	ph	ph	1	
Mass	g	g	1	
Mass	mg	mg	1	
Mass Concentration	g/l	g/l	1	
Mass Concentration	g/l	mg/l	1000	
Mass Concentration	mg/l	g/l	0.001	
Mass Concentration	mg/l	mg/l	1	
Mass Concentration	mg/l	ug/l	1000	
Mass Concentration	mg/ml	mg/l	1000	
Mass Concentration	ng/l	ng/l	1	
Mass Concentration	ng/ml	ng/l	1000	
Mass Concentration	ng/ml	ng/ml	1	
Mass Concentration	ng/ml	ug/l	1	
Mass Concentration	ug/l	g/l	0.000001	
Mass Concentration	ug/l	mg/l	0.001	
Mass Concentration	ug/l	ng/l	1000	
Mass Concentration	ug/l	ug/l	1	
Mass Content	ug/g	ug/g	1	
Mass Rate	g/24h	g/24h	1	
Mass Rate	mg/24h	g/24h	0.001	
Mass Rate	mg/24h	mg/24h	1	
Mass Rate	ug/min	ug/min	1	
Mass Ratio	%	%	1	
Mass Ratio	ratio	ratio	1	
Mass fraction	%	%	1	
Mass fraction	%	mmol/mol	10.93*X-23.50	3004410
Mass fraction	mmol/mol	mmol/mol	1	
Mass or Substance Rate	mmol/24h	mmol/24h	1	
Number Areic (per area)	u/field	u/field	1	
Number Concentration	%	%	1	
Number Concentration	e12/l	e12/l	1	
