sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer,ADD_INFO:sourceConceptId,ADD_INFO:sourceConceptClass,ADD_INFO:sourceDomain,ADD_INFO:sourceValidStartDate,ADD_INFO:sourceValidEndDate,ADD_INFO:sourceParents,ADD_INFO:sourceParentVocabulary,ADD_INFO:sourceName_fi,ADD_INFO:UniqueForLab,ADD_INFO:validationMessages,ADD_INFO:autoUpdatingInfo
vol%,vol%,14139,,0,APPROVED,UNREVIEWED,Javier,1717545600000,8554,percent,Unit,MAPS_TO,,Javier,1717545600000,,2001800101,UNITfi Level 0,Unit,1970-01-01,2099-12-31,,,vol%,TRUE,,
titre,titre,86520,,0,APPROVED,UNREVIEWED,Javier,1717545600000,8525,titer,Unit,MAPS_TO,,Javier,1717545600000,,2001800102,UNITfi Level 0,Unit,1970-01-01,2099-12-31,,,titre,TRUE,,
umol/24h,umol/24h,7355,,0,APPROVED,UNREVIEWED,Javier,1717545600000,8907,micromole per 24 hours,Unit,MAPS_TO,,Javier,1717545600000,,2001800103,UNITfi Level 0,Unit,1970-01-01,2099-12-31,,,umol/24h,TRUE,,
umol/l,umol/l,40661212,,0,APPROVED,UNREVIEWED,Javier,1717545600000,8749,micromole per liter,Unit,MAPS_TO,,Javier,1717545600000,,2001800104,UNITfi Level 0,Unit,1970-01-01,2099-12-31,,,umol/l,TRUE,,
mol/l,mol/l,82,,0,APPROVED,UNREVIEWED,Javier,1717545600000,9586,mole per liter,Unit,MAPS_TO,,Javier,1717545600000,,2001800105,UNITfi Level 0,Unit,1970-01-01,2099-12-31,,,mol/l,TRUE,,
ratio,ratio,5099,,0,APPROVED,UNREVIEWED,Javier,1717545600000,8523,ratio,Unit,MAPS_TO,,Javier,1717545600000,,2001800106,UNITfi Level 0,Unit,1970-01-01,2099-12-31,,,ratio,TRUE,,
kg/l,kg/l,392002,,0,APPROVED,UNREVIEWED,Javier,1717545600000,9530,kilogram per liter,Unit,MAPS_TO,,Javier,1717545600000,,2001800107,UNITfi Level 0,Unit,1970-01-01,2099-12-31,,,kg/l,TRUE,,
%/lymf,%/lymf,7691,,0,UNCHECKED,EQUAL,Javier,1717505156975,9228,percent of lymphocytes,Unit,MAPS_TO,,Javier,1717505153181,,2001800108,UNITfi Level 0,Unit,1970-01-01,2099-12-31,,,%/lymf,TRUE,,
u/field,u/field,1547,,0,UNCHECKED,EQUAL,Javier,1722946697858,8786,per high power field,Unit,MAPS_TO,,Javier,1722946694339,,2001800109,UNITfi Level 0,Unit,1970-01-01,2099-12-31,,,u/field,TRUE,,
ug/min,ug/min,31273,,0,APPROVED,UNREVIEWED,Javier,1717545600000,8774,microgram per minute,Unit,MAPS_TO,,Javier,1717545600000,,2001800110,UNITfi Level 0,Unit,1970-01-01,2099-12-31,,,ug/min,TRUE,,
mg/24h,mg/24h,2427,,0,APPROVED,UNREVIEWED,Javier,1717545600000,8909,milligram per 24 hours,Unit,MAPS_TO,,Javier,1717545600000,,2001800111,UNITfi Level 0,Unit,1970-01-01,2099-12-31,,,mg/24h,TRUE,,
g/24h,g/24h,807,,0,APPROVED,UNREVIEWED,Javier,1717545600000,8807,gram per 24 hours,Unit,MAPS_TO,,Javier,1717545600000,,2001800112,UNITfi Level 0,Unit,1970-01-01,2099-12-31,,,g/24h,TRUE,,
ug/g,ug/g,550839,,0,APPROVED,UNREVIEWED,Javier,1717545600000,8720,microgram per gram,Unit,MAPS_TO,,Javier,1717545600000,,2001800113,UNITfi Level 0,Unit,1970-01-01,2099-12-31,,,ug/g,TRUE,,
ug/l,ug/l,6191632,,0,APPROVED,UNREVIEWED,Javier,1717545600000,8748,microgram per liter,Unit,MAPS_TO,,Javier,1717545600000,,2001800114,UNITfi Level 0,Unit,1970-01-01,2099-12-31,,,ug/l,TRUE,,
pg/cell,pg/cell,54822,,0,APPROVED,UNREVIEWED,Javier,1717545600000,8704,picogram per cell,Unit,MAPS_TO,,Javier,1717545600000,,2001800115,UNITfi Level 0,Unit,1970-01-01,2099-12-31,,,pg/cell,TRUE,,
eliau/ml,eliau/ml,77836,,0,UNCHECKED,UNREVIEWED,Javier,1717545600000,8980,arbitrary unit per milliliter,Unit,MAPS_TO,,Javier,1717545600000,,2001800116,UNITfi Level 0,Unit,1970-01-01,2099-12-31,,,eliau/ml,TRUE,,
%m,%m,1755,,0,APPROVED,UNREVIEWED,Javier,1717545600000,8554,percent,Unit,MAPS_TO,,Javier,1717545600000,,2001800117,UNITfi Level 0,Unit,1970-01-01,2099-12-31,,,%m,TRUE,,
%l,%l,1754,,0,APPROVED,UNREVIEWED,Javier,1717545600000,8554,percent,Unit,MAPS_TO,,Javier,1717545600000,,2001800118,UNITfi Level 0,Unit,1970-01-01,2099-12-31,,,%l,TRUE,,
%g,%g,1755,,0,APPROVED,EQUAL,Javier,1717505248591,9503,gram percent,Unit,MAPS_TO,,Javier,1717505247007,,2001800119,UNITfi Level 0,Unit,1970-01-01,2099-12-31,,,%g,TRUE,,
ml/h,ml/h,-1,,0,APPROVED,UNREVIEWED,HUS,1639612800000,44777613,milliliter per hour,Unit,MAPS_TO,,HUS,1639612800000,,2001800120,UNITfi Level 0,Unit,1970-01-01,2099-12-31,,,,TRUE,,
x,x,-1,,0,APPROVED,UNREVIEWED,HUS,1639612800000,8524,times,Unit,MAPS_TO,,HUS,1639612800000,,2001800121,UNITfi Level 0,Unit,1970-01-01,2099-12-31,,,,TRUE,,
l/min,l/min,-1,,0,APPROVED,UNREVIEWED,HUS,1639612800000,8698,liter per minute,Unit,MAPS_TO,,HUS,1639612800000,,2001800122,UNITfi Level 0,Unit,1970-01-01,2099-12-31,,,,TRUE,,
bpm,bpm,-1,,0,APPROVED,UNREVIEWED,HUS,1639612800000,8541,per minute,Unit,MAPS_TO,,HUS,1639612800000,,2001800123,UNITfi Level 0,Unit,1970-01-01,2099-12-31,,,,TRUE,,
l,l,-1,,0,APPROVED,UNREVIEWED,HUS,1639612800000,8519,liter,Unit,MAPS_TO,,HUS,1639612800000,,2001800124,UNITfi Level 0,Unit,1970-01-01,2099-12-31,,,,TRUE,,
nmol/24h,nmol/24h,-1,,0,APPROVED,UNREVIEWED,HUS,1639612800000,44777627,nanomole per 24 hours,Unit,MAPS_TO,,HUS,1639612800000,,2001800125,UNITfi Level 0,Unit,1970-01-01,2099-12-31,,,,TRUE,,
ml/s/173m2,ml/s/173m2,-1,,0,APPROVED,UNREVIEWED,HUS,1639612800000,44777614,milliliter per second,Unit,MAPS_TO,,HUS,1639612800000,,2001800126,UNITfi Level 0,Unit,1970-01-01,2099-12-31,,,,TRUE,,
mg/mmol,mg/mmol,-1,,0,APPROVED,UNREVIEWED,HUS,1639612800000,44777612,milligram per millimole,Unit,MAPS_TO,,HUS,1639612800000,,2001800127,UNITfi Level 0,Unit,1970-01-01,2099-12-31,,,,TRUE,,
mg/gkuivap,mg/gkuivap,-1,,0,APPROVED,UNREVIEWED,HUS,1639612800000,44777608,milligram per gram dry weight,Unit,MAPS_TO,,HUS,1639612800000,,2001800128,UNITfi Level 0,Unit,1970-01-01,2099-12-31,,,,TRUE,,
cmh2o,cmh2o,-1,,0,APPROVED,UNREVIEWED,HUS,1639612800000,44777590,centimeter watercolumn,Unit,MAPS_TO,,HUS,1639612800000,,2001800129,UNITfi Level 0,Unit,1970-01-01,2099-12-31,,,,TRUE,,
mu/l,mu/l,-1,,0,APPROVED,UNREVIEWED,HUS,1639612800000,44777578,milliunit per liter,Unit,MAPS_TO,,HUS,1639612800000,,2001800130,UNITfi Level 0,Unit,1970-01-01,2099-12-31,,,,TRUE,,
estimate,estimate,-1,,0,UNCHECKED,UNREVIEWED,Javier,0,0,Unmapped,,MAPS_TO,,,0,,2001800131,UNITfi Level 0,Unit,1970-01-01,2099-12-31,,,,TRUE,,
°c,°c,-1,,0,APPROVED,UNREVIEWED,HUS,1639612800000,586323,degree Celsius,Unit,MAPS_TO,,HUS,1639612800000,,2001800132,UNITfi Level 0,Unit,1970-01-01,2099-12-31,,,,TRUE,,
l/s,l/s,-1,,0,APPROVED,UNREVIEWED,HUS,1639612800000,32700,liter per second,Unit,MAPS_TO,,HUS,1639612800000,,2001800133,UNITfi Level 0,Unit,1970-01-01,2099-12-31,,,,TRUE,,
ug,ug,-1,,0,APPROVED,UNREVIEWED,HUS,1639612800000,9655,microgram,Unit,MAPS_TO,,HUS,1639612800000,,2001800134,UNITfi Level 0,Unit,1970-01-01,2099-12-31,,,,TRUE,,
miu/ml,miu/ml,-1,,0,APPROVED,UNREVIEWED,HUS,1639612800000,9550,milli-international unit per milliliter,Unit,MAPS_TO,,HUS,1639612800000,,2001800135,UNITfi Level 0,Unit,1970-01-01,2099-12-31,,,,TRUE,,
m,m,-1,,0,APPROVED,UNREVIEWED,HUS,1639612800000,9546,meter,Unit,MAPS_TO,,HUS,1639612800000,,2001800136,UNITfi Level 0,Unit,1970-01-01,2099-12-31,,,,TRUE,,
point,point,-1,,0,APPROVED,UNREVIEWED,HUS,1639612800000,9384,point,Unit,MAPS_TO,,HUS,1639612800000,,2001800137,UNITfi Level 0,Unit,1970-01-01,2099-12-31,,,,TRUE,,
